defining_member_latent,defining_member_subctx_precision_heldout,defining_member_subctx_precision_sel,defining_per_edge_kg_above_null,defining_per_edge_kg_top1,defining_slice_auc,holes_remaining_sel,members,n_members,recovered_absorbers,rek_anch_ci_hi,rek_anch_ci_lo,rek_anch_p95,unit_above_rek_anch_95th,unit_minus_rek_anch_diff,variant
4697,0.34965034965034963,0.33482142857142855,False,0.0,0.9944920634920635,7,"[3792, 4697, 945, 15519]",4,3,0.13041928571428563,0.10033595238095239,0.696221428571428,True,0.11518412698412706,original
16009,0.9554140127388535,0.967741935483871,False,0.0,0.9945238095238095,20,"[3792, 16009, 540, 846]",4,3,0.17670515873015874,0.1385478571428571,0.7093457142857141,True,0.15744761904761895,gated
16009,0.9554140127388535,0.967741935483871,False,0.0,0.9945238095238095,20,"[3792, 16009, 540, 846]",4,3,0.09848619047619048,0.07365634920634921,0.6857195238095238,True,0.08581269841269834,weighted
