sub_context,n_pos,n_neg,eligible,auc_unit,auc_anchor,auc_g,auc_h,auc_dense_probe,auc_rek_mean,auc_rek_anch_mean,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_rek_mean_diff,unit_minus_rek_mean_ci_lo,unit_minus_rek_mean_ci_hi,unit_minus_rek_anch_mean_diff,unit_minus_rek_anch_mean_ci_lo,unit_minus_rek_anch_mean_ci_hi,unit_minus_dense_probe_diff,unit_minus_dense_probe_ci_lo,unit_minus_dense_probe_ci_hi,unit_minus_S_rec_anch_diff,unit_minus_S_rec_anch_ci_lo,unit_minus_S_rec_anch_ci_hi,unit_minus_S_prec_anch_diff,unit_minus_S_prec_anch_ci_lo,unit_minus_S_prec_anch_ci_hi,unit_minus_S_mag_anch_diff,unit_minus_S_mag_anch_ci_lo,unit_minus_S_mag_anch_ci_hi,unit_minus_S_rec_free_diff,unit_minus_S_rec_free_ci_lo,unit_minus_S_rec_free_ci_hi,unit_minus_S_prec_free_diff,unit_minus_S_prec_free_ci_lo,unit_minus_S_prec_free_ci_hi,unit_minus_S_mag_free_diff,unit_minus_S_mag_free_ci_lo,unit_minus_S_mag_free_ci_hi,rek_anch_p95,unit_above_rek_anch_95th,selection_established
year,300,1750,True,0.765,0.625,0.8891752380952381,0.8407542857142857,1.0,0.9980819047619047,0.9982095238095238,-0.12417523809523812,-0.15381642857142858,-0.09458452380952385,-0.07575428571428566,-0.1077776190476191,-0.04306771428571433,-0.2330819047619047,-0.2613609999999999,-0.20468557142857138,-0.23320952380952376,-0.26142290476190466,-0.20492752380952378,-0.235,-0.2633333333333333,-0.20666666666666667,,,,,,,,,,,,,,,,,,,0.7987665238095237,False,False
percent,250,1750,True,0.902,0.888,0.7448274285714286,0.717008,1.0,0.9655062857142858,0.9879771428571429,0.15717257142857144,0.12296994285714291,0.19138102857142858,0.18499200000000005,0.14884725714285713,0.22093954285714285,-0.06350628571428574,-0.08699662857142856,-0.041128857142857154,-0.08597714285714286,-0.10819085714285719,-0.06495462857142856,-0.09799999999999998,-0.124,-0.07399999999999995,,,,,,,,,,,,,,,,,,,0.9276240571428571,False,False
currency,250,1750,True,0.804,0.8,0.6844731428571429,0.646208,1.0,0.9389485714285715,0.9436777142857142,0.11952685714285716,0.08240668571428579,0.15609382857142856,0.15779200000000004,0.11933154285714288,0.1955894857142856,-0.13494857142857142,-0.16259211428571424,-0.10873451428571436,-0.13967771428571418,-0.1661287428571428,-0.11459880000000008,-0.19599999999999995,-0.22799999999999998,-0.16600000000000004,,,,,,,,,,,,,,,,,,,0.8525991999999999,False,False
date,250,1750,True,0.984,0.646,0.93488,0.9200137142857143,1.0,0.9999954285714285,0.9999908571428572,0.04911999999999994,0.03339600000000001,0.06476114285714285,0.06398628571428566,0.0460889714285714,0.0814292571428571,-0.01599542857142855,-0.027993142857142828,-0.006000000000000005,-0.015990857142857196,-0.02798628571428574,-0.006000000000000005,-0.016000000000000014,-0.028000000000000025,-0.006000000000000005,,,,,,,,,,,,,,,,,,,0.9208751428571428,True,False
decimal,200,1750,True,0.9375,0.6325,0.8139485714285715,0.8077257142857143,1.0,0.9743057142857143,0.9713085714285714,0.12355142857142853,0.08907128571428573,0.1577172142857143,0.12977428571428573,0.09444221428571431,0.16526121428571422,-0.03680571428571433,-0.061155214285714285,-0.01475428571428572,-0.03380857142857141,-0.05780092857142853,-0.012510642857142804,-0.0625,-0.08750000000000002,-0.040000000000000036,,,,,,,,,,,,,,,,,,,0.7411214285714285,True,False
integer,300,1750,True,0.635,0.635,0.55832,0.49706285714285714,1.0,0.6140971428571429,0.6459657142857143,0.07667999999999997,0.04501133333333335,0.10782328571428579,0.13793714285714287,0.10307238095238092,0.17196173809523807,0.020902857142857112,-0.010514857142857234,0.051320047619047654,-0.010965714285714245,-0.04009795238095235,0.017953190476190563,-0.365,-0.39,-0.33999999999999997,-0.09248380952380952,-0.11857730952380949,-0.0672392857142857,0.0023580952380952702,0.001028571428571487,0.003965809523809478,-0.2783333333333333,-0.30666666666666664,-0.25,-0.09248380952380952,-0.11857730952380949,-0.0672392857142857,0.14042857142857146,0.11566071428571433,0.16600000000000004,-0.2783333333333333,-0.30666666666666664,-0.25,0.6581696190476191,False,False
comma_number,150,1750,True,0.8233333333333334,0.8133333333333334,0.8784304761904762,0.8783466666666667,1.0,0.9997142857142857,0.9999085714285715,-0.055097142857142845,-0.10179123809523812,-0.009233714285714328,-0.05501333333333336,-0.10177142857142851,-0.009156952380952349,-0.1763809523809523,-0.21611095238095238,-0.13944685714285715,-0.17657523809523812,-0.21646857142857145,-0.1398322857142857,-0.17666666666666664,-0.21666666666666667,-0.14,,,,,,,,,,,,,,,,,,,0.9266453333333333,False,False
ordinal,150,1750,True,1.0,0.7333333333333333,0.723767619047619,0.6822742857142857,1.0,0.93696,0.9435847619047619,0.276232380952381,0.24029180952380955,0.31216047619047615,0.3177257142857143,0.27396133333333333,0.3615748571428571,0.06303999999999998,0.04990771428571427,0.07692609523809521,0.056415238095238074,0.04346266666666666,0.07040028571428573,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.7838638095238095,True,True
