above_null,absorber,absorber_is_formfree_magnitude_top,absorber_vs_formfree_top_firing_jaccard,agreement_top1,agreement_top3,anchor,formfree_magnitude_top_latent,formfree_magnitude_top_share,formfree_magnitude_top_subctx_precision,jaccard,marginal_gain,n_hole_tokens,null_95,null_mean,specializes,subctx_precision_sel
False,16009,False,0.33783783783783783,0.0,0.09166666666666666,3792,1966,1.0,0.34324942791762014,0.007977207977207978,0.5136363636363637,120,0.0,0.002,Georgia,0.967741935483871
False,540,False,0.5879396984924623,0.0,0.0,3792,9339,0.9545454545454546,0.6326530612244898,0.008614088820826952,0.31363636363636366,88,0.0,0.0020113636363636362,Jordan,0.9914529914529915
False,846,False,0.48026315789473684,0.0,0.34285714285714286,3792,6125,1.0,0.5,0.024758220502901353,0.08181818181818182,35,0.0,0.002,United States,0.9931506849315068
