sub_context,n,eligible,absorbed,recall_unit_raw,recall_anchor_raw,recall_g_raw,recall_h_raw,recall_dense_raw,recall_unit_matched,recall_anchor_matched,recall_g_matched,recall_h_matched,recall_dense_matched,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_g_mcnemar_p,unit_minus_g_holm_p,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_h_mcnemar_p,unit_minus_h_holm_p
Russia,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,1.0,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0,0.0,0.0,0.0,1.0,1.0
Saudi Arabia,53,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9056603773584906,0.9811320754716981,0.8301886792452831,,,,,,,,,,
South Africa,141,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9787234042553191,1.0,1.0,,,,,,,,,,
South Korea,70,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,,,,,,,,,,
Spain,150,True,False,0.9933333333333333,0.9933333333333333,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,1.0,0.9866666666666667,-0.006666666666666667,-0.02,0.0,1.0,1.0,-0.006666666666666667,-0.02,0.0,1.0,1.0
Sri Lanka,39,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,,,,,,,,,,
Sweden,122,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836065573770492,1.0,1.0,,,,,,,,,,
Switzerland,94,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9468085106382979,1.0,0.9361702127659575,,,,,,,,,,
Thailand,68,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Turkey,106,False,False,1.0,1.0,1.0,1.0,1.0,0.9811320754716981,1.0,0.9716981132075472,0.9528301886792453,0.9433962264150944,,,,,,,,,,
Ukraine,66,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
United Kingdom,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0.96,0.9666666666666667,0.88,0.03333333333333333,0.0,0.06666666666666667,0.125,1.0,0.02666666666666667,0.0,0.06,0.21875,1.0
United States,150,True,True,0.9733333333333334,0.7666666666666667,1.0,0.9933333333333333,1.0,0.44666666666666666,0.7666666666666667,0.9533333333333334,0.9133333333333333,0.8066666666666666,-0.5066666666666667,-0.5933333333333334,-0.42,2.0972709481945113e-19,4.1945418963890225e-18,-0.4666666666666667,-0.56,-0.36666666666666664,4.152441283052301e-15,8.304882566104601e-14
Vietnam,88,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8636363636363636,0.9431818181818182,1.0,,,,,,,,,,
