above_null,absorber,absorber_is_formfree_magnitude_top,absorber_vs_formfree_top_firing_jaccard,agreement_top1,agreement_top3,anchor,formfree_magnitude_top_latent,formfree_magnitude_top_share,formfree_magnitude_top_subctx_precision,jaccard,marginal_gain,n_hole_tokens,null_95,null_mean,specializes,subctx_precision_sel
False,8684,False,0.3490683229813665,0.0,0.0,14823,8641,0.3107344632768362,0.29069767441860467,0.055501460564751706,0.2308411214953271,177,0.0,0.0004124293785310735,date,0.7236842105263158
False,7983,False,0.0814663951120163,0.0,0.006802721088435374,14823,4730,0.35374149659863946,0.10828729281767956,0.04421768707482993,0.09532710280373832,147,0.0,9.523809523809523e-05,decimal,0.8085106382978723
False,13658,False,0.06181455633100698,0.0,0.8625,14823,4730,0.225,0.05966850828729282,0.08236658932714618,0.07476635514018691,80,0.0,0.00048750000000000003,ordinal,0.9738562091503268
False,2842,False,0.01487778958554729,0.0,0.08163265306122448,14823,4730,0.35374149659863946,0.10828729281767956,0.004689331770222743,0.058878504672897194,147,0.0,0.0006870748299319728,decimal,0.7272727272727273
