sub_context,n,eligible,absorbed,recall_unit_raw,recall_anchor_raw,recall_g_raw,recall_h_raw,recall_dense_raw,recall_unit_matched,recall_anchor_matched,recall_g_matched,recall_h_matched,recall_dense_matched,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_g_mcnemar_p,unit_minus_g_holm_p,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_h_mcnemar_p,unit_minus_h_holm_p
comma_number,150,True,False,0.6466666666666666,0.6266666666666667,1.0,1.0,1.0,0.38,0.6266666666666667,0.6,0.6733333333333333,0.22666666666666666,-0.22,-0.34,-0.1,0.0008100087738623599,0.0032400350954494396,-0.29333333333333333,-0.41333333333333333,-0.17333333333333334,8.049550377189253e-06,4.024775188594627e-05
currency,250,True,False,0.608,0.6,1.0,1.0,1.0,0.264,0.6,0.196,0.236,0.336,0.068,-0.004,0.14,0.07478815428283364,0.14957630856566728,0.028,-0.044,0.1,0.5104099416812344,1.0
date,250,True,True,0.968,0.292,1.0,1.0,1.0,0.732,0.292,0.856,0.8,0.104,-0.124,-0.188,-0.064,0.0001942977864148144,0.0009714889320740721,-0.068,-0.132,-0.004,0.05328936381651365,0.15986809144954095
decimal,200,True,True,0.875,0.265,1.0,1.0,1.0,0.505,0.265,0.475,0.485,0.59,0.03,-0.075,0.135,0.6367997716142328,0.6367997716142328,0.02,-0.085,0.125,0.7769647513696721,1.0
integer,300,True,True,0.27,0.27,1.0,0.99,1.0,0.18666666666666668,0.27,0.10666666666666667,0.11,0.68,0.08,0.02666666666666667,0.13333333333333333,0.004272405031651674,0.012817215094955023,0.07666666666666666,0.02666666666666667,0.12666666666666668,0.005918433252619306,0.023673733010477226
ordinal,150,True,False,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.4666666666666667,0.3,0.34,0.31333333333333335,0.7,0.6266666666666667,0.7733333333333333,4.930380657631324e-32,3.4512664603419266e-31,0.66,0.5866666666666667,0.7333333333333333,3.1554436208840472e-30,2.208810534618833e-29
percent,250,True,False,0.804,0.776,1.0,1.0,1.0,0.632,0.776,0.284,0.324,0.528,0.348,0.268,0.428,8.363230064667416e-15,5.01793803880045e-14,0.308,0.224,0.388,1.1197841824364677e-11,6.718705094618806e-11
year,300,True,True,0.53,0.25,1.0,1.0,1.0,0.06333333333333334,0.25,0.6466666666666666,0.56,0.48333333333333334,-0.5833333333333334,-0.6433333333333333,-0.52,2.521861568294949e-44,2.017489254635959e-43,-0.49666666666666665,-0.56,-0.43666666666666665,2.5326891962067818e-36,2.0261513569654254e-35
