sub_context,n_pos,n_neg,eligible,auc_unit,auc_anchor,auc_g,auc_h,auc_dense_probe,auc_rek_mean,auc_rek_anch_mean,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_rek_mean_diff,unit_minus_rek_mean_ci_lo,unit_minus_rek_mean_ci_hi,unit_minus_rek_anch_mean_diff,unit_minus_rek_anch_mean_ci_lo,unit_minus_rek_anch_mean_ci_hi,unit_minus_dense_probe_diff,unit_minus_dense_probe_ci_lo,unit_minus_dense_probe_ci_hi,rek_anch_p95,unit_above_rek_anch_95th,selection_established
year,300,1750,True,0.9666666666666667,0.625,0.8891752380952381,0.8625238095238095,1.0,0.9983771428571429,0.9990628571428571,0.07749142857142854,0.05816552380952379,0.0968803333333334,0.1041428571428572,0.08342747619047616,0.1248747619047619,-0.03171047619047618,-0.046449619047619066,-0.0185255714285714,-0.03239619047619047,-0.04719271428571432,-0.019310428571428593,-0.033333333333333326,-0.04833333333333334,-0.020000000000000018,0.7756684761904761,True,False
percent,250,1750,True,0.976,0.888,0.7448274285714286,0.7628205714285714,1.0,0.9663725714285715,0.9847634285714286,0.2311725714285714,0.2016661714285714,0.26083937142857144,0.21317942857142858,0.18450905714285715,0.24196937142857136,0.009627428571428509,-0.003657657142857198,0.021874285714285735,-0.008763428571428644,-0.021149942857142896,0.0024962285714285127,-0.02400000000000002,-0.038000000000000034,-0.01200000000000001,0.9150405142857142,True,False
currency,250,1750,True,0.87,0.8,0.6844731428571429,0.7055885714285715,1.0,0.9421074285714286,0.9585348571428571,0.1855268571428571,0.15238622857142856,0.21896651428571423,0.16441142857142854,0.1327234857142857,0.19741579999999995,-0.0721074285714286,-0.09628497142857143,-0.04850251428571433,-0.08853485714285714,-0.11182942857142864,-0.06552599999999997,-0.13,-0.15800000000000003,-0.10399999999999998,0.8429367428571428,True,False
date,250,1750,True,0.992,0.646,0.93488,0.9257211428571429,1.0,0.9999977142857143,0.9999954285714285,0.05711999999999995,0.04382857142857144,0.07050531428571424,0.06627885714285708,0.05176891428571428,0.08101034285714284,-0.007997714285714275,-0.016000000000000014,-0.0019931428571428045,-0.007995428571428542,-0.016000000000000014,-0.001986285714285718,-0.008000000000000007,-0.016000000000000014,-0.0020000000000000018,0.909247657142857,True,False
decimal,200,1750,True,0.92,0.6325,0.8139485714285715,0.8354885714285715,1.0,0.9844257142857142,0.97076,0.10605142857142857,0.07052235714285711,0.14087778571428566,0.08451142857142857,0.050801642857142865,0.11758092857142857,-0.0644257142857142,-0.09135178571428577,-0.03956814285714283,-0.050759999999999916,-0.07756314285714287,-0.02578242857142865,-0.07999999999999996,-0.10750000000000004,-0.05500000000000005,0.7247101428571429,True,False
integer,300,1750,True,0.6866666666666666,0.635,0.55832,0.5723180952380953,1.0,0.6294371428571428,0.6577485714285715,0.1283466666666666,0.0916170476190476,0.16392657142857137,0.11434857142857136,0.07447747619047619,0.1534710476190476,0.05722952380952384,0.023819904761904827,0.0899936904761905,0.028918095238095187,-0.005825047619047602,0.06234333333333333,-0.31333333333333335,-0.3416666666666667,-0.28500000000000003,0.657133238095238,True,False
comma_number,150,1750,True,0.9666666666666667,0.8133333333333334,0.8784304761904762,0.8887390476190477,1.0,0.9998971428571428,0.9998933333333333,0.08823619047619047,0.06106276190476185,0.11491190476190478,0.07792761904761902,0.05210609523809521,0.10291457142857145,-0.033230476190476144,-0.05326857142857144,-0.013302761904761932,-0.03322666666666663,-0.053253333333333375,-0.01331809523809524,-0.033333333333333326,-0.053333333333333344,-0.013333333333333308,0.9197349523809524,True,False
ordinal,150,1750,True,0.88,0.7333333333333333,0.723767619047619,0.7356495238095239,1.0,0.9407809523809524,0.9301333333333334,0.156232380952381,0.11714638095238102,0.1964534285714286,0.14435047619047614,0.10635961904761906,0.18192419047619054,-0.06078095238095238,-0.09560057142857145,-0.027092952380952356,-0.05013333333333336,-0.08358561904761908,-0.018402095238095228,-0.12,-0.15666666666666662,-0.08666666666666667,0.7785845714285714,True,False
