sub_context,n,eligible,absorbed,recall_unit_raw,recall_anchor_raw,recall_g_raw,recall_h_raw,recall_dense_raw,recall_unit_matched,recall_anchor_matched,recall_g_matched,recall_h_matched,recall_dense_matched,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_g_mcnemar_p,unit_minus_g_holm_p,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_h_mcnemar_p,unit_minus_h_holm_p
comma_number,150,True,False,0.9333333333333333,0.6266666666666667,1.0,1.0,1.0,0.5133333333333333,0.6266666666666667,0.6,0.6733333333333333,0.30666666666666664,-0.08666666666666667,-0.2,0.02666666666666667,0.15971168311801956,0.3194233662360391,-0.16,-0.2733333333333333,-0.04666666666666667,0.007905180027859783,0.031620720111439134
currency,250,True,False,0.74,0.6,1.0,0.992,1.0,0.288,0.6,0.196,0.236,0.24,0.092,0.02,0.164,0.017827552929735955,0.05348265878920787,0.052,-0.02,0.124,0.20311681873649565,0.4062336374729913
date,250,True,True,0.984,0.292,1.0,1.0,1.0,0.74,0.292,0.856,0.8,0.144,-0.116,-0.18,-0.052,0.0007667649897412908,0.003833824948706454,-0.06,-0.128,0.012,0.11466035574580133,0.34398106723740396
decimal,200,True,True,0.84,0.265,1.0,1.0,1.0,0.335,0.265,0.475,0.485,0.68,-0.14,-0.24,-0.04,0.009057983337532565,0.03623193335013026,-0.15,-0.25,-0.05,0.005447429511444476,0.027237147557222383
integer,300,True,True,0.37333333333333335,0.27,1.0,0.9633333333333334,1.0,0.2833333333333333,0.27,0.10666666666666667,0.11,0.65,0.17666666666666667,0.12,0.23666666666666666,1.2968749869187788e-08,7.781249921512673e-08,0.17333333333333334,0.11666666666666667,0.23333333333333334,2.0783545041774735e-08,1.247012702506484e-07
ordinal,150,True,False,0.76,0.4666666666666667,1.0,1.0,1.0,0.3466666666666667,0.4666666666666667,0.3,0.34,0.24,0.04666666666666667,-0.03333333333333333,0.12666666666666668,0.31050465907901537,0.3194233662360391,0.006666666666666667,-0.07333333333333333,0.08666666666666667,0.9999999999999998,0.9999999999999998
percent,250,True,False,0.952,0.776,1.0,0.996,1.0,0.636,0.776,0.284,0.324,0.572,0.352,0.272,0.432,8.676026674232843e-15,6.07321867196299e-14,0.312,0.232,0.392,7.055225473235021e-12,5.644180378588017e-11
year,300,True,True,0.9333333333333333,0.25,1.0,1.0,1.0,0.31,0.25,0.6466666666666666,0.56,0.46,-0.33666666666666667,-0.4066666666666667,-0.2633333333333333,6.297635860369826e-17,5.03810868829586e-16,-0.25,-0.3233333333333333,-0.17666666666666667,5.794051283240926e-10,4.055835898268648e-09
